name,municipality,iata_code,type
Utirik Airport,Utirik Island,UTK,small_airport
Ocean Reef Club Airport,Key Largo,OCA,small_airport
Cuddihy Field,Corpus Christi,CUX,small_airport
Crested Butte Airpark,Crested Butte,CSE,small_airport
Columbus Airport,Columbus,CUS,small_airport
LBJ Ranch Airport,Stonewall,JCY,small_airport
Loring Seaplane Base,Loring,WLR,seaplane_base
Nunapitchuk Airport,Nunapitchuk,NUP,small_airport
Port Alice Seaplane Base,Port Alice,PTC,seaplane_base
Icy Bay Airport,Icy Bay,ICY,small_airport
Port Protection Seaplane Base,Port Protection,PPV,seaplane_base
Kalakaket Creek AS Airport,Kalakaket Creek,KKK,small_airport
Dunsmuir Muni-Mott Airport,Dunsmuir,MHS,small_airport
Chase Field Industrial Airport,Beeville,NIR,small_airport
Grand Canyon Bar Ten Airstrip,Littlefield,GCT,small_airport
Ellamar Seaplane Base,Ellamar,ELW,seaplane_base
Lime Village Airport,Lime Village,LVD,small_airport
Hog River Airport,Hogatza,HGZ,small_airport
Ed-Air Airport,Oaktown,OTN,small_airport
Telida Airport,Telida,TLF,small_airport
Eagle Air Park,Brazoria,BZT,small_airport
Entrance Island Seaplane Base,Entrance Island,HBH,seaplane_base
False Island Seaplane Base,False Island,FAK,seaplane_base
Blakely Island Airport,Blakely Island,BYW,small_airport
Drift River Airport,Kenai,DRF,small_airport
Rinkenberger Restricted Landing Area,Bradford,BDF,small_airport
Tetlin Airport,Tetlin,TEH,small_airport
Roy Otten Memorial Airfield,Versailles,VRS,small_airport
Golden Horn Lodge Seaplane Base,Golden Horn Lodge,GDH,seaplane_base
Atmautluak Airport,Atmautluak,ATT,small_airport
Livengood Camp Airport,Livengood,LIV,small_airport
Pedro Bay Airport,Pedro Bay,PDB,small_airport
Ouzinkie Airport,Ouzinkie,KOZ,small_airport
Tununak Airport,Tununak,TNK,small_airport
Hyder Seaplane Base,Hyder,WHD,seaplane_base
Minto Al Wright Airport,Minto,MNT,small_airport
Tokeen Seaplane Base,Tokeen,TKI,seaplane_base
Aleknagik / New Airport,Aleknagik,WKK,medium_airport
Ketchikan Harbor Seaplane Base,Ketchikan,WFB,seaplane_base
Rollang Field,Rolling Fork,RFK,small_airport
Naknek Airport,Naknek,NNK,small_airport
Lake Brooks Seaplane Base,Katmai National Park,BKF,seaplane_base
Southern Seaplane Airport,Belle Chasse,BCS,small_airport
Minute Man Air Field,Stow,MMN,small_airport
Catalina Air-Sea Terminal Heliport,San Pedro,SPQ,heliport
East 34th Street Heliport,New York,TSS,heliport
New York Skyports Inc Seaplane Base,New York,NYS,seaplane_base
Earl Henry Airport,Blackwell,BWL,small_airport
Yes Bay Lodge Seaplane Base,Yes Bay,WYB,seaplane_base
Center Island Airport,Center Island,CWS,small_airport
Tatitlek Airport,Tatitlek,TEK,small_airport
Pine Island Airport,Corolla,DUF,small_airport
Stuart Island Airpark,Friday Harbor,SSW,small_airport
Fort Bragg Airport,Fort Bragg,FOB,small_airport
Port of Poulsbo Marina Moorage Seaplane Base,Poulsbo,PUL,seaplane_base
Century City Heliport,Los Angeles,CCD,heliport
Meyers Chuck Seaplane Base,Meyers Chuck,WMK,seaplane_base
Maxson Airfield,Alexandria Bay,AXB,small_airport
Reese Airpark,Lubbock,REE,small_airport
Waldron Airstrip,Eastsound,WDN,small_airport
Whale Pass Seaplane Float Harbor Facility,Whale Pass,WWP,seaplane_base
Chuathbaluk Airport,Chuathbaluk,CHU,small_airport
Ugashik Airport,Ugashik,UGS,small_airport
Recreation and Conference Center Heliport,City of Industry,JID,heliport
Philadelphia Seaplane Base,Essington,PSQ,seaplane_base
Levelock Airport,Levelock,KLL,small_airport
Saginaw Seaplane Base,Saginaw Bay,SGW,seaplane_base
Tuntutuliak Airport,Tuntutuliak,WTL,small_airport
Twin Hills Airport,Twin Hills,TWA,small_airport
Chignik Lake Airport,Chignik Lake,KCQ,small_airport
Adado Airport,Adado,AAD,small_airport
Atkamba Airport,Atkamba Mission,ABP,small_airport
Arica Airport,Arica,ACM,small_airport
Andakombe Airport,Andekombe,ADC,small_airport
El Daein Airport,El Daein,ADV,small_airport
Jebel Ali Seaplane Base,Jebel Ali,DJH,seaplane_base
Adareil Airport,Adar,AEE,small_airport
Aseki Airport,Aseki,AEK,small_airport
Ar Horqin Airport,Chifeng,AEQ,small_airport
"""Ghost"" International Airport",Khost,KHT,medium_airport
Orūzgān Airport,Orūzgān,URZ,small_airport
Salerno Airport,Khost,OLR,small_airport
Kondavattavana Tank Seaplane Base,Ampara,AFK,seaplane_base
Afore Airstrip,,AFR,small_airport
Afutara Aerodrome,Bila,AFT,small_airport
Ulawa Airport,Arona,RNA,small_airport
Uru Harbour Airport,Atoifi,ATD,small_airport
Barakoma Airport,Barakoma,VEV,small_airport
Geva Airport,Liangia,GEF,small_airport
Angoram Airport,Angoram,AGG,small_airport
Gwaunaru'u Airport,Auki,AKS,small_airport
Bellona/Anua Airport,Anua,BNY,small_airport
Choiseul Bay Airport,,CHY,small_airport
Ballalae Airport,Ballalae,BAS,small_airport
